video_path,type,reduction_level,gt_class_name
Easy/4/UR_LR_UR_LL_36270.mp4,easy,4,remove wrap
Easy/4/UR_LR_LL_UR_29776.mp4,easy,4,open bottle
Easy/4/UR_LR_UL_UL_36270.mp4,easy,4,remove wrap
Hard/3/LR_LL_UR_16092.mp4,hard,3,open container
Hard/4/UL_LL_UL_LR_44943.mp4,hard,4,peel carrot
Easy/3/LR_LR_UR_36270.mp4,easy,3,remove wrap
Hard/5/UR_UL_UL_UR_LR_44943.mp4,hard,5,peel carrot
Hard/4/UL_LR_LR_UL_44943.mp4,hard,4,peel carrot
Easy/4/UR_LR_LL_LL_63504.mp4,easy,4,take napkin
Hard/3/LR_UL_LL_34562.mp4,hard,3,take box
Easy/2/UR_UR_09152.mp4,easy,2,hang glove
Easy/5/LL_UL_LL_LL_UR_29776.mp4,easy,5,open bottle
Hard/3/LL_UR_LL_30735.mp4,hard,3,wash top
Easy/5/UR_LL_UL_LL_UR_10766.mp4,easy,5,pour milk
Hard/4/UL_LL_UR_UL_30735.mp4,hard,4,wash top
Easy/6/LL_UR_LR_UL_LR_UL_50987.mp4,easy,6,open oven
Hard/3/LL_UL_LL_30735.mp4,hard,3,wash top
Easy/5/LR_LL_UR_UL_LR_48868.mp4,easy,5,take cup
Hard/5/LL_LL_LR_LR_UL_46211.mp4,hard,5,hang cloth
Hard/5/UL_UR_LR_LR_LL_55836.mp4,hard,5,wash knife
Easy/4/LL_LR_UL_LR_57408.mp4,easy,4,open machine:washing
Hard/5/UL_LR_LR_LL_UR_44943.mp4,hard,5,peel carrot
Hard/4/UL_LL_LL_UR_33974.mp4,hard,4,take cup
Easy/4/UR_LL_LR_UL_09152.mp4,easy,4,hang glove
Easy/3/UL_UL_UL_57408.mp4,easy,3,open machine:washing
Easy/4/LL_LL_UL_UR_48868.mp4,easy,4,take cup
Hard/5/UR_LR_UL_UL_LR_16092.mp4,hard,5,open container
Hard/5/UL_LL_UR_LR_UL_35778.mp4,hard,5,pour sauce
Easy/5/UR_UL_LL_UL_LR_20586.mp4,easy,5,turn-off tap
Easy/6/UL_UR_UL_LR_UL_LL_28393.mp4,easy,6,close dishwasher
Easy/3/LL_UL_LR_20586.mp4,easy,3,turn-off tap
Easy/5/UR_LL_UL_UL_LR_20586.mp4,easy,5,turn-off tap
Hard/4/LL_UR_LL_UL_16092.mp4,hard,4,open container
Easy/5/LR_LR_UL_LL_LR_29776.mp4,easy,5,open bottle
Hard/4/LL_LR_UR_UL_30735.mp4,hard,4,wash top
Hard/5/LL_UL_LL_UL_LR_10788.mp4,hard,5,remove lid
Hard/4/UL_UR_UR_LL_46211.mp4,hard,4,hang cloth
Hard/4/LR_LL_UL_UL_23590.mp4,hard,4,serve milk
Easy/5/UR_UR_LR_UL_LL_50987.mp4,easy,5,open oven
Easy/4/UL_UR_LR_LR_51854.mp4,easy,4,wash plate
Easy/4/UL_UL_UR_LL_57408.mp4,easy,4,open machine:washing
Easy/6/LL_UL_UR_LL_LL_UR_03159.mp4,easy,6,turn-off light
Easy/6/LL_UL_LR_UR_UR_LL_20586.mp4,easy,6,turn-off tap
Easy/4/UL_UL_UL_UR_36270.mp4,easy,4,remove wrap
Hard/5/UL_UL_UR_LL_UL_46211.mp4,hard,5,hang cloth
Hard/4/LL_UR_LL_LR_44943.mp4,hard,4,peel carrot
Easy/1/UL_36270.mp4,easy,1,remove wrap
Easy/3/UR_UR_UR_41842.mp4,easy,3,wash board:chopping
Easy/4/LL_LL_UR_LL_04376.mp4,easy,4,close cupboard
Easy/5/UL_LL_LR_LR_LL_51854.mp4,easy,5,wash plate
Easy/6/LL_LR_LL_UL_LL_UR_09152.mp4,easy,6,hang glove
Easy/6/UL_UL_LR_UR_UL_UR_57408.mp4,easy,6,open machine:washing
Hard/7/UR_LL_LL_UR_UL_UR_LL_15469.mp4,hard,7,put brush
Easy/1/LL_37869.mp4,easy,1,put cloth
Hard/2/UL_LR_26714.mp4,hard,2,take scissors
Hard/5/LR_LL_LR_UR_LL_23843.mp4,hard,5,open bottle
Easy/4/UL_LR_UL_LL_50987.mp4,easy,4,open oven
Hard/5/UR_LL_LR_LR_UL_46211.mp4,hard,5,hang cloth
Hard/5/UL_UL_LR_UR_UL_30735.mp4,hard,5,wash top
Hard/4/LR_UR_UR_LL_10788.mp4,hard,4,remove lid
Easy/5/UL_UR_UR_UL_LL_41842.mp4,easy,5,wash board:chopping
Hard/5/LL_UR_LL_UR_LL_10788.mp4,hard,5,remove lid
Hard/5/UR_UR_LR_LL_UL_58280.mp4,hard,5,insert utensil
Easy/5/UR_UL_LR_LL_UL_48868.mp4,easy,5,take cup
Easy/4/LR_LR_LL_LL_63504.mp4,easy,4,take napkin
Easy/4/UR_LR_LR_UL_03159.mp4,easy,4,turn-off light
Hard/1/LL_26714.mp4,hard,1,take scissors
Hard/5/UL_LR_UL_UL_LR_16092.mp4,hard,5,open container
Easy/5/UL_UR_UR_LR_UL_36270.mp4,easy,5,remove wrap
Hard/3/LR_LR_UL_30735.mp4,hard,3,wash top
Hard/6/UR_LL_LR_UR_LL_UL_23590.mp4,hard,6,serve milk
Easy/4/UR_LL_UL_LL_04376.mp4,easy,4,close cupboard
Hard/5/UR_UL_UL_LR_UR_44943.mp4,hard,5,peel carrot
Hard/6/UR_UR_LR_UL_LR_UR_34657.mp4,hard,6,close drawer
Easy/5/LR_LL_UR_UR_LL_29776.mp4,easy,5,open bottle
Easy/4/UL_LL_LR_LL_63504.mp4,easy,4,take napkin
Easy/4/UR_UR_UL_UR_57408.mp4,easy,4,open machine:washing
Hard/4/UL_LR_UR_LR_34657.mp4,hard,4,close drawer
Easy/4/UL_UR_UR_LL_36270.mp4,easy,4,remove wrap
Easy/5/UR_UR_LL_LL_UR_03159.mp4,easy,5,turn-off light
Easy/4/LL_UR_UL_LR_41842.mp4,easy,4,wash board:chopping
Easy/3/LR_LL_UL_48868.mp4,easy,3,take cup
Easy/2/LL_UR_10766.mp4,easy,2,pour milk
Easy/3/LR_UR_LL_36270.mp4,easy,3,remove wrap
Easy/6/LR_LR_LR_UR_LR_UL_20586.mp4,easy,6,turn-off tap
Easy/5/LR_UL_UR_LR_UL_20586.mp4,easy,5,turn-off tap
Easy/3/LR_UL_LR_03159.mp4,easy,3,turn-off light
Easy/3/UL_UL_UR_09152.mp4,easy,3,hang glove
Easy/3/LL_LR_UL_36270.mp4,easy,3,remove wrap
Easy/4/LL_UL_LL_UR_59895.mp4,easy,4,cut lime
Hard/5/UR_LL_LR_UL_UL_23590.mp4,hard,5,serve milk
Easy/4/UL_UR_UR_LL_65460.mp4,easy,4,put hoover
Easy/4/UL_UR_LR_UL_36270.mp4,easy,4,remove wrap
Hard/6/LR_LR_LR_UL_LR_UL_35778.mp4,hard,6,pour sauce
Easy/4/LL_UR_UL_LR_48868.mp4,easy,4,take cup
Easy/5/UR_LL_UR_UR_LL_63504.mp4,easy,5,take napkin
Easy/5/LR_LL_LR_UL_LR_41842.mp4,easy,5,wash board:chopping
